安徽组播,#genre#
生活时尚,http://60.169.43.41:4000/udp/238.1.78.155:7112
体育赛事,http://60.169.43.41:4000/udp/238.1.78.33:6192
中甲联赛,http://60.169.43.41:4000/udp/238.1.79.39:4424
卡酷少儿,http://60.169.43.41:4000/udp/238.1.78.97:6648
哈哈炫动,http://60.169.43.41:4000/udp/238.1.78.82:6528
金鹰卡通,http://60.169.43.41:4000/udp/238.1.78.100:6672
财富天下,http://60.169.43.41:4000/udp/238.1.78.25:6128
东方财*浦东,http://60.169.43.41:4000/udp/238.1.78.73:6456
都市剧场,http://60.169.43.41:4000/udp/238.1.78.74:6464
金色频道,http://60.169.43.41:4000/udp/238.1.78.76:6480
游戏风云,http://60.169.43.41:4000/udp/238.1.78.81:6520
法治天地,http://60.169.43.41:4000/udp/238.1.78.84:6544
七彩戏剧,http://60.169.43.41:4000/udp/238.1.78.85:6552
合肥新闻频道,http://60.169.43.41:4000/udp/238.1.78.111:6760
肥东新闻综合,http://60.169.43.41:4000/udp/238.1.78.183:7336
肥东经济生活,http://60.169.43.41:4000/udp/238.1.78.184:7344
肥西新闻综合,http://60.169.43.41:4000/udp/238.1.78.185:7352
长丰电视台,http://60.169.43.41:4000/udp/238.1.78.182:7328
滁州新闻综合,http://60.169.43.41:4000/udp/238.1.78.132:6928
滁州公共频道,http://60.169.43.41:4000/udp/238.1.78.133:6936
滁州科教频道,http://60.169.43.41:4000/udp/238.1.78.134:6944
全椒综合频道,http://60.169.43.41:4000/udp/238.1.78.203:7496
来安新闻综合,http://60.169.43.41:4000/udp/238.1.78.204:7504
定远新闻综合,http://60.169.43.41:4000/udp/238.1.78.205:7512
凤阳新闻频道,http://60.169.43.41:4000/udp/238.1.78.207:7528
明光综合频道,http://60.169.43.41:4000/udp/238.1.78.208:7536
芜湖新闻综合,http://60.169.43.41:4000/udp/238.1.78.112:6768
芜湖公共频道,http://60.169.43.41:4000/udp/238.1.78.80:6512
芜湖生活频道,http://60.169.43.41:4000/udp/238.1.78.152:7088
芜湖教育频道,http://60.169.43.41:4000/udp/238.1.78.167:7208
湾沚新闻综合,http://60.169.43.41:4000/udp/238.1.78.187:7368
繁昌新闻综合,http://60.169.43.41:4000/udp/238.1.78.190:7392
无为新闻频道,http://60.169.43.41:4000/udp/238.1.78.188:7376
南陵新闻综合,http://60.169.43.41:4000/udp/238.1.78.189:7384
马鞍山新闻综合,http://60.169.43.41:4000/udp/238.1.79.15:4232
马鞍山公共频道,http://60.169.43.41:4000/udp/238.1.78.77:6488
安庆新闻综合,http://60.169.43.41:4000/udp/238.1.78.117:6808
安庆公共频道,http://60.169.43.41:4000/udp/238.1.78.118:6816
安庆教育频道,http://60.169.43.41:4000/udp/238.1.78.120:6832
潜山综合频道,http://60.169.43.41:4000/udp/238.1.78.192:7408
桐城综合频道,http://60.169.43.41:4000/udp/238.1.78.28:6152
太湖新闻综合,http://60.169.43.41:4000/udp/238.1.79.12:4208
黄山新闻综合,http://60.169.43.41:4000/udp/238.1.78.130:6912
黄山公共频道,http://60.169.43.41:4000/udp/238.1.78.131:6920
徽州新闻频道,http://60.169.43.41:4000/udp/238.1.78.138:6976
太平电视台,http://60.169.43.41:4000/udp/238.1.78.199:7464
歙县综合频道,http://60.169.43.41:4000/udp/238.1.78.200:7472
休宁新闻综合,http://60.169.43.41:4000/udp/238.1.79.20:4272
祁门综合频道,http://60.169.43.41:4000/udp/238.1.79.14:4224
黟县新闻综合,http://60.169.43.41:4000/udp/238.1.78.149:7064
宣城综合频道,http://60.169.43.41:4000/udp/238.1.78.142:7008
宣城公共频道,http://60.169.43.41:4000/udp/238.1.78.143:7016
广德新闻综合,http://60.169.43.41:4000/udp/238.1.78.212:7568
广德生活频道,http://60.169.43.41:4000/udp/238.1.78.213:7576
郎溪新闻频道,http://60.169.43.41:4000/udp/238.1.78.214:7584
旌德新闻综合,http://60.169.43.41:4000/udp/238.1.78.215:7592
宁国新闻综合,http://60.169.43.41:4000/udp/238.1.78.216:7600
